JobID,ResumeID,Score,MatchedSkills
1,101,69.52,5
1,102,35.24,1
1,103,26.67,0
1,104,26.67,0
1,105,26.67,0
1,106,52.38,3
1,107,26.67,0
1,108,26.67,0
1,109,69.52,5
1,110,26.67,0
1,111,52.38,3
1,112,52.38,3
1,113,26.67,0
1,114,26.67,0
1,115,26.67,0
1,116,26.67,0
1,117,69.52,5
1,118,69.52,5
1,119,26.67,0
1,120,35.24,1
1,121,26.67,0
1,122,35.24,1
1,123,26.67,0
1,124,78.10,6
1,125,69.52,5
1,126,26.67,0
1,127,26.67,0
1,128,26.67,0
1,129,26.67,0
1,130,52.38,3
1,131,35.24,1
1,132,35.24,1
1,133,35.24,1
1,134,26.67,0
1,135,26.67,0
1,136,35.24,1
1,137,26.67,0
1,138,26.67,0
1,139,26.67,0
1,140,35.24,1
1,141,26.67,0
1,142,26.67,0
1,143,78.10,6
1,144,26.67,0
1,145,26.67,0
1,146,69.52,5
1,147,26.67,0
1,148,26.67,0
1,149,35.24,1
1,150,35.24,1
1,151,26.67,0
1,152,26.67,0
1,153,26.67,0
1,154,26.67,0
1,155,26.67,0
1,156,69.52,5
1,157,26.67,0
1,158,35.24,1
1,159,26.67,0
1,160,26.67,0
1,161,69.52,5
1,162,26.67,0
1,163,26.67,0
1,164,26.67,0
1,165,26.67,0
1,166,78.10,6
1,167,26.67,0
1,168,26.67,0
1,169,35.24,1
1,170,26.67,0
1,171,26.67,0
1,172,26.67,0
1,173,26.67,0
1,174,26.67,0
1,175,43.81,2
1,176,26.67,0
1,177,60.95,4
1,178,26.67,0
1,179,69.52,5
1,180,26.67,0
1,181,26.67,0
1,182,26.67,0
1,183,26.67,0
1,184,26.67,0
1,185,26.67,0
1,186,26.67,0
1,187,35.24,1
1,188,60.95,4
1,189,26.67,0
1,190,60.95,4
1,191,35.24,1
1,192,26.67,0
1,193,35.24,1
1,194,26.67,0
1,195,60.95,4
1,196,35.24,1
1,197,26.67,0
1,198,35.24,1
1,199,26.67,0
1,200,26.67,0
1,201,26.67,0
1,202,26.67,0
1,203,26.67,0
1,204,26.67,0
1,205,35.24,1
1,206,26.67,0
1,207,26.67,0
1,208,26.67,0
1,209,86.67,7
1,210,26.67,0
1,211,26.67,0
1,212,26.67,0
1,213,35.24,1
1,214,26.67,0
1,215,26.67,0
1,216,26.67,0
1,217,26.67,0
1,218,26.67,0
1,219,35.24,1
1,220,26.67,0
1,221,26.67,0
1,222,26.67,0
1,223,69.52,5
1,224,26.67,0
1,225,26.67,0
1,226,86.67,7
1,227,35.24,1
1,228,60.95,4
1,229,26.67,0
1,230,26.67,0
1,231,26.67,0
1,232,26.67,0
1,233,26.67,0
1,234,52.38,3
1,235,35.24,1
1,236,26.67,0
1,237,52.38,3
1,238,35.24,1
1,239,86.67,7
1,240,26.67,0
1,241,26.67,0
1,242,26.67,0
1,243,26.67,0
1,244,26.67,0
1,245,26.67,0
1,246,52.38,3
1,247,26.67,0
1,248,52.38,3
1,249,35.24,1
1,250,26.67,0
1,251,78.10,6
1,252,35.24,1
1,253,86.67,7
1,254,26.67,0
1,255,52.38,3
1,256,35.24,1
1,257,26.67,0
1,258,26.67,0
1,259,35.24,1
1,260,86.67,7
1,261,35.24,1
1,262,35.24,1
1,263,26.67,0
1,264,26.67,0
1,265,26.67,0
1,266,43.81,2
1,267,26.67,0
1,268,52.38,3
1,269,35.24,1
1,270,26.67,0
1,271,26.67,0
1,272,26.67,0
1,273,26.67,0
1,274,60.95,4
1,275,26.67,0
1,276,26.67,0
1,277,69.52,5
1,278,26.67,0
1,279,26.67,0
1,280,35.24,1
1,281,26.67,0
1,282,26.67,0
1,283,26.67,0
1,284,26.67,0
1,285,35.24,1
1,286,43.81,2
1,287,26.67,0
1,288,60.95,4
1,289,26.67,0
1,290,26.67,0
1,291,35.24,1
1,292,26.67,0
1,293,69.52,5
1,294,26.67,0
1,295,78.10,6
1,296,43.81,2
1,297,26.67,0
1,298,78.10,6
1,299,60.95,4
1,300,52.38,3
1,301,78.10,6
1,302,26.67,0
1,303,26.67,0
1,304,86.67,7
1,305,35.24,1
1,306,69.52,5
1,307,26.67,0
1,308,26.67,0
1,309,35.24,1
1,310,26.67,0
1,311,69.52,5
1,312,35.24,1
1,313,26.67,0
1,314,26.67,0
1,315,35.24,1
1,316,26.67,0
1,317,26.67,0
1,318,26.67,0
1,319,26.67,0
1,320,26.67,0
1,321,26.67,0
1,322,26.67,0
1,323,69.52,5
1,324,35.24,1
1,325,26.67,0
1,326,26.67,0
1,327,26.67,0
1,328,26.67,0
1,329,35.24,1
1,330,35.24,1
1,331,26.67,0
1,332,26.67,0
1,333,26.67,0
1,334,35.24,1
1,335,26.67,0
1,336,26.67,0
1,337,52.38,3
1,338,26.67,0
1,339,26.67,0
1,340,26.67,0
1,341,35.24,1
1,342,26.67,0
1,343,35.24,1
1,344,26.67,0
1,345,26.67,0
1,346,35.24,1
1,347,26.67,0
1,348,26.67,0
1,349,35.24,1
1,350,69.52,5
1,351,26.67,0
1,352,35.24,1
1,353,78.10,6
1,354,26.67,0
1,355,78.10,6
1,356,26.67,0
1,357,26.67,0
1,358,78.10,6
1,359,78.10,6
1,360,35.24,1
1,361,35.24,1
1,362,43.81,2
1,363,26.67,0
1,364,86.67,7
1,365,26.67,0
1,366,35.24,1
1,367,26.67,0
1,368,26.67,0
1,369,26.67,0
1,370,35.24,1
1,371,26.67,0
1,372,26.67,0
1,373,35.24,1
1,374,26.67,0
1,375,26.67,0
1,376,26.67,0
1,377,35.24,1
1,378,52.38,3
1,379,26.67,0
1,380,26.67,0
1,381,52.38,3
1,382,26.67,0
1,383,26.67,0
1,384,35.24,1
1,385,26.67,0
1,386,69.52,5
1,387,35.24,1
1,388,26.67,0
1,389,26.67,0
1,390,26.67,0
1,391,26.67,0
1,392,26.67,0
1,393,35.24,1
1,394,26.67,0
1,395,69.52,5
1,396,60.95,4
1,397,26.67,0
1,398,26.67,0
1,399,78.10,6
1,400,35.24,1
1,401,26.67,0
1,402,26.67,0
1,403,35.24,1
1,404,26.67,0
1,405,26.67,0
1,406,26.67,0
1,407,26.67,0
1,408,60.95,4
1,409,26.67,0
1,410,60.95,4
1,411,26.67,0
1,412,26.67,0
1,413,26.67,0
1,414,26.67,0
1,415,35.24,1
1,416,26.67,0
1,417,26.67,0
1,418,26.67,0
1,419,26.67,0
1,420,26.67,0
1,421,26.67,0
1,422,26.67,0
1,423,35.24,1
1,424,69.52,5
1,425,60.95,4
1,426,26.67,0
1,427,26.67,0
1,428,35.24,1
1,429,26.67,0
1,430,26.67,0
1,431,26.67,0
1,432,78.10,6
1,433,26.67,0
1,434,26.67,0
1,435,60.95,4
1,436,26.67,0
1,437,78.10,6
1,438,26.67,0
1,439,35.24,1
1,440,35.24,1
1,441,35.24,1
1,442,26.67,0
1,443,26.67,0
1,444,26.67,0
1,445,26.67,0
1,446,35.24,1
1,447,26.67,0
1,448,26.67,0
1,449,69.52,5
1,450,35.24,1
1,451,43.81,2
1,452,26.67,0
1,453,78.10,6
1,454,35.24,1
1,455,26.67,0
1,456,26.67,0
1,457,26.67,0
1,458,26.67,0
1,459,69.52,5
1,460,69.52,5
1,461,26.67,0
1,462,26.67,0
1,463,78.10,6
1,464,26.67,0
1,465,78.10,6
1,466,35.24,1
1,467,69.52,5
1,468,43.81,2
1,469,26.67,0
1,470,26.67,0
1,471,26.67,0
1,472,86.67,7
1,473,35.24,1
1,474,35.24,1
1,475,60.95,4
1,476,78.10,6
1,477,26.67,0
1,478,26.67,0
1,479,26.67,0
1,480,26.67,0
1,481,35.24,1
1,482,52.38,3
1,483,26.67,0
1,484,26.67,0
1,485,26.67,0
1,486,26.67,0
1,487,35.24,1
1,488,35.24,1
1,489,26.67,0
1,490,26.67,0
1,491,35.24,1
1,492,35.24,1
1,493,60.95,4
1,494,26.67,0
1,495,26.67,0
1,496,26.67,0
1,497,52.38,3
1,498,35.24,1
1,499,26.67,0
1,500,26.67,0
1,501,69.52,5
1,502,60.95,4
1,503,26.67,0
1,504,26.67,0
1,505,35.24,1
1,506,26.67,0
1,507,26.67,0
1,508,35.24,1
1,509,78.10,6
1,510,26.67,0
1,511,26.67,0
1,512,35.24,1
1,513,35.24,1
1,514,43.81,2
1,515,26.67,0
1,516,35.24,1
1,517,26.67,0
1,518,60.95,4
1,519,26.67,0
1,520,26.67,0
1,521,35.24,1
1,522,35.24,1
1,523,26.67,0
1,524,35.24,1
1,525,69.52,5
1,526,26.67,0
1,527,26.67,0
1,528,78.10,6
1,529,35.24,1
1,530,35.24,1
1,531,26.67,0
1,532,52.38,3
1,533,26.67,0
1,534,26.67,0
1,535,69.52,5
1,536,69.52,5
1,537,69.52,5
